Student_ID,Q1_Age_Group,Q2_Year_of_Study,Q3_Field_of_Study,Q4_Platform,Q5_Course_Type,Q6_Course_Duration,Q7_Daily_Study_Time,Q8_Weekly_Study_Days,Q9_Study_Schedule_Regularity,Q10_Time_Management_Rating,Q11_Assignment_Completion,Q12_Video_Watching_Freq,Q13_Forum_Participation,Q14_Break_Frequency,Q15_Course_Difficulty,Q16_Motivation_Level,Q17_Internet_Quality,Q18_Main_Device,Q19_Course_Completed,Q20_Dropout_Reason,Q21_Overall_Satisfaction,Q22_Future_Course_Likelihood
SURVEY_101,Above 26,3rd Year,Engineering,Coursera,Programming / Technology,Less than 2 weeks,2–3 hours,4–5 days,4,1,Always,Always,Never,Rarely,Easy,3,Good,Laptop,Yes,I completed the course,3,Probably Yes
SURVEY_102,18–20,2nd Year,Engineering,edX,Programming / Technology,1–3 months,1–2 hours,1 day,4,2,Rarely,Always,Not Available in My Course,Often,Moderate,2,Very Good,Laptop,Yes,I completed the course,2,Probably Yes
SURVEY_103,24–26,2nd Year,Engineering,Coursera,Artificial Intelligence / Data Science,1–3 months,Less than 30 minutes,Every day,4,5,Always,Almost Always,Not Available in My Course,Never,Easy,1,Good,Laptop,Yes,I completed the course,3,Not Sure
SURVEY_104,18–20,3rd Year,Computer Science / IT,edX,Programming / Technology,More than 6 months,1–2 hours,2–3 days,1,4,Often,Almost Always,Often,Never,Moderate,2,Very Good,Laptop,Yes,I completed the course,3,Definitely Yes
SURVEY_105,18–20,3rd Year,Engineering,YouTube,Artificial Intelligence / Data Science,2–4 weeks,1–2 hours,4–5 days,3,4,Often,Almost Always,Rarely,Never,Easy,1,Very Good,Laptop,Yes,I completed the course,3,Probably No
SURVEY_106,18–20,3rd Year,Computer Science / IT,Coursera,Programming / Technology,2–4 weeks,2–3 hours,4–5 days,4,4,Always,Sometimes,Very Often,Sometimes,Difficult,5,Good,Smartphone,Yes,I completed the course,3,Probably Yes
SURVEY_107,18–20,2nd Year,Engineering,Udemy,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,2–3 days,2,3,Sometimes,Sometimes,Never,Rarely,Moderate,4,Average,Tablet,No,Lack of time,3,Definitely No
SURVEY_108,Below 18,2nd Year,Engineering,NPTEL,Artificial Intelligence / Data Science,1–3 months,1–2 hours,4–5 days,1,3,Sometimes,Always,Rarely,Very Often,Moderate,4,Very Good,Smartphone,Yes,I completed the course,3,Probably Yes
SURVEY_109,21–23,1st Year,Engineering,Coursera,Artificial Intelligence / Data Science,2–4 weeks,1–2 hours,2–3 days,5,2,Sometimes,Sometimes,Not Available in My Course,Often,Easy,4,Very Good,Laptop,No,Lack of interest,3,Definitely Yes
SURVEY_110,24–26,4th Year,Engineering,Coursera,Programming / Technology,1–3 months,2–3 hours,6 days,4,3,Rarely,Sometimes,Very Often,Sometimes,Very Easy,2,Very Good,Smartphone,Yes,I completed the course,2,Probably Yes
SURVEY_111,Above 26,2nd Year,Computer Science / IT,Udemy,Programming / Technology,2–4 weeks,1–2 hours,4–5 days,3,3,Often,Almost Always,Never,Sometimes,Very Difficult,3,Excellent,Laptop,No,Other,3,Probably Yes
SURVEY_112,18–20,3rd Year,Computer Science / IT,Coursera,Artificial Intelligence / Data Science,2–4 weeks,2–3 hours,Every day,5,3,Never,Always,Rarely,Very Often,Very Difficult,5,Good,Laptop,No,Lack of time,5,Definitely Yes
SURVEY_113,21–23,4th Year,Engineering,Udemy,Programming / Technology,1–3 months,More than 3 hours,1 day,3,4,Often,Almost Always,Sometimes,Sometimes,Easy,4,Very Good,Desktop,Yes,I completed the course,5,Probably Yes
SURVEY_114,21–23,3rd Year,Business / Management,edX,Language Learning,2–4 weeks,30 minutes–1 hour,1 day,3,1,Often,Almost Always,Never,Sometimes,Very Easy,1,Very Good,Laptop,Yes,I completed the course,2,Probably Yes
SURVEY_115,Above 26,3rd Year,Business / Management,Coursera,Artificial Intelligence / Data Science,1–3 months,Less than 30 minutes,1 day,5,4,Never,Often,Rarely,Often,Easy,2,Average,Laptop,No,Lack of interest,4,Definitely Yes
SURVEY_116,18–20,3rd Year,Business / Management,NPTEL,Programming / Technology,More than 6 months,1–2 hours,4–5 days,4,3,Sometimes,Often,Often,Never,Easy,1,Poor,Desktop,No,Course content did not meet expectations,4,Probably Yes
SURVEY_117,21–23,3rd Year,Computer Science / IT,Udemy,Programming / Technology,1–3 months,1–2 hours,1 day,3,3,Often,Always,Sometimes,Rarely,Easy,4,Poor,Laptop,Yes,I completed the course,5,Probably Yes
SURVEY_118,21–23,3rd Year,Engineering,YouTube,Programming / Technology,More than 6 months,2–3 hours,2–3 days,1,2,Never,Sometimes,Sometimes,Never,Moderate,4,Poor,Laptop,Yes,I completed the course,3,Definitely Yes
SURVEY_119,24–26,1st Year,Computer Science / IT,LinkedIn Learning,Artificial Intelligence / Data Science,1–3 months,1–2 hours,4–5 days,4,2,Sometimes,Almost Always,Very Often,Sometimes,Easy,4,Very Good,Smartphone,No,Internet/technical problems,3,Probably Yes
SURVEY_120,18–20,2nd Year,Computer Science / IT,Coursera,Academic Subject,3–6 months,30 minutes–1 hour,Every day,4,3,Often,Sometimes,Never,Sometimes,Moderate,3,Excellent,Laptop,Yes,I completed the course,2,Probably No
SURVEY_121,21–23,2nd Year,Science,Udemy,Programming / Technology,2–4 weeks,1–2 hours,4–5 days,2,1,Often,Sometimes,Often,Often,Easy,2,Excellent,Laptop,No,Academic or work commitments,3,Not Sure
SURVEY_122,21–23,2nd Year,Business / Management,Udemy,Programming / Technology,1–3 months,30 minutes–1 hour,2–3 days,3,2,Sometimes,Almost Always,Sometimes,Often,Difficult,4,Very Good,Smartphone,No,Lack of time,3,Probably Yes
SURVEY_123,21–23,2nd Year,Business / Management,LinkedIn Learning,Artificial Intelligence / Data Science,2–4 weeks,Less than 30 minutes,6 days,5,2,Often,Sometimes,Never,Rarely,Easy,5,Very Good,Laptop,Yes,I completed the course,4,Probably No
SURVEY_124,24–26,3rd Year,Engineering,Coursera,Programming / Technology,1–3 months,30 minutes–1 hour,4–5 days,1,5,Always,Almost Always,Rarely,Rarely,Difficult,4,Average,Desktop,No,Other,4,Probably No
SURVEY_125,24–26,1st Year,Science,Udemy,Programming / Technology,1–3 months,1–2 hours,2–3 days,5,3,Often,Often,Often,Sometimes,Easy,1,Average,Smartphone,No,Course content did not meet expectations,2,Probably Yes
SURVEY_126,21–23,4th Year,Engineering,NPTEL,Business / Management,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Sometimes,Always,Often,Never,Easy,1,Good,Laptop,Yes,I completed the course,4,Definitely Yes
SURVEY_127,21–23,4th Year,Computer Science / IT,Coursera,Programming / Technology,1–3 months,1–2 hours,4–5 days,2,2,Never,Often,Sometimes,Sometimes,Moderate,5,Good,Laptop,No,Lack of interest,4,Probably Yes
SURVEY_128,24–26,4th Year,Computer Science / IT,YouTube,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,Every day,3,3,Often,Often,Never,Rarely,Easy,2,Average,Laptop,Yes,I completed the course,2,Definitely Yes
SURVEY_129,21–23,Postgraduate,Engineering,Coursera,Business / Management,2–4 weeks,30 minutes–1 hour,1 day,3,3,Sometimes,Always,Never,Rarely,Moderate,2,Good,Laptop,No,Course was too difficult,3,Definitely Yes
SURVEY_130,Below 18,4th Year,Computer Science / IT,Udemy,Other,1–3 months,2–3 hours,2–3 days,4,3,Often,Sometimes,Never,Rarely,Moderate,4,Very Good,Smartphone,Yes,I completed the course,5,Probably Yes
SURVEY_131,18–20,3rd Year,Computer Science / IT,Udemy,Business / Management,Less than 2 weeks,30 minutes–1 hour,2–3 days,3,3,Sometimes,Almost Always,Rarely,Sometimes,Moderate,4,Good,Laptop,Yes,I completed the course,3,Definitely Yes
SURVEY_132,21–23,2nd Year,Other,NPTEL,Programming / Technology,2–4 weeks,Less than 30 minutes,2–3 days,2,2,Sometimes,Sometimes,Very Often,Never,Moderate,3,Excellent,Smartphone,No,Other,3,Probably No
SURVEY_133,Above 26,3rd Year,Business / Management,edX,Business / Management,1–3 months,30 minutes–1 hour,4–5 days,2,5,Often,Sometimes,Sometimes,Sometimes,Moderate,4,Average,Laptop,No,Academic or work commitments,5,Definitely Yes
SURVEY_134,18–20,3rd Year,Engineering,Udemy,Programming / Technology,1–3 months,Less than 30 minutes,1 day,1,2,Often,Almost Always,Often,Rarely,Difficult,4,Good,Desktop,Yes,I completed the course,5,Definitely Yes
SURVEY_135,24–26,3rd Year,Computer Science / IT,edX,Business / Management,1–3 months,1–2 hours,4–5 days,2,2,Often,Always,Rarely,Sometimes,Moderate,3,Very Good,Desktop,Yes,I completed the course,4,Probably Yes
SURVEY_136,21–23,2nd Year,Computer Science / IT,Udemy,Programming / Technology,2–4 weeks,30 minutes–1 hour,2–3 days,3,4,Often,Sometimes,Very Often,Sometimes,Moderate,4,Excellent,Laptop,Yes,I completed the course,4,Not Sure
SURVEY_137,18–20,3rd Year,Engineering,edX,Programming / Technology,1–3 months,30 minutes–1 hour,2–3 days,4,3,Often,Often,Rarely,Often,Very Easy,4,Good,Laptop,Yes,I completed the course,4,Not Sure
