Student_ID,Q1_Age_Group,Q2_Year_of_Study,Q3_Field_of_Study,Q4_Platform,Q5_Course_Type,Q6_Course_Duration,Q7_Daily_Study_Time,Q8_Weekly_Study_Days,Q9_Study_Schedule_Regularity,Q10_Time_Management_Rating,Q11_Assignment_Completion,Q12_Video_Watching_Freq,Q13_Forum_Participation,Q14_Break_Frequency,Q15_Course_Difficulty,Q16_Motivation_Level,Q17_Internet_Quality,Q18_Main_Device,Q19_Course_Completed,Q20_Dropout_Reason,Q21_Overall_Satisfaction,Q22_Future_Course_Likelihood
STU_10000,18–20,2nd Year,Engineering,edX,Language Learning,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Rarely,Sometimes,Rarely,Rarely,Easy,2,Average,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10001,21–23,Other,Engineering,Other,Artificial Intelligence / Data Science,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Not Available in My Course,Often,Easy,3,Excellent,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10002,Above 26,Other,Science,Udemy,Academic Subject,1–3 months,1–2 hours,Every day,2,3,Always,Often,Not Available in My Course,Rarely,Moderate,5,Very Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10003,18–20,4th Year,Science,LinkedIn Learning,Personal Development,3–6 months,2–3 hours,2–3 days,5,4,Rarely,Almost Always,Often,Very Often,Difficult,2,Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10004,24–26,4th Year,Other,NPTEL,Language Learning,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Often,Sometimes,Very Difficult,4,Average,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10005,Above 26,2nd Year,Other,LinkedIn Learning,Artificial Intelligence / Data Science,More than 6 months,More than 3 hours,Every day,5,5,Always,Always,Rarely,Very Often,Very Difficult,5,Excellent,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10006,21–23,3rd Year,Business / Management,NPTEL,Programming / Technology,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Sometimes,Often,Easy,3,Excellent,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10007,21–23,3rd Year,Arts / Humanities,YouTube,Personal Development,Less than 2 weeks,Less than 30 minutes,4–5 days,5,1,Sometimes,Rarely,Sometimes,Very Often,Very Easy,3,Average,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10008,18–20,Postgraduate,Business / Management,Other,Artificial Intelligence / Data Science,3–6 months,2–3 hours,2–3 days,5,4,Rarely,Almost Always,Very Often,Very Often,Difficult,2,Good,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10009,21–23,4th Year,Science,YouTube,Artificial Intelligence / Data Science,3–6 months,2–3 hours,4–5 days,2,4,Sometimes,Almost Always,Often,Rarely,Difficult,3,Poor,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10010,Above 26,Other,Engineering,LinkedIn Learning,Personal Development,More than 6 months,More than 3 hours,Every day,5,5,Always,Always,Not Available in My Course,Very Often,Very Difficult,5,Excellent,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10011,Above 26,Postgraduate,Business / Management,Coursera,Artificial Intelligence / Data Science,3–6 months,2–3 hours,Every day,1,4,Always,Almost Always,Very Often,Never,Difficult,5,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10012,Below 18,Postgraduate,Arts / Humanities,LinkedIn Learning,Artificial Intelligence / Data Science,3–6 months,2–3 hours,1 day,3,4,Never,Almost Always,Very Often,Sometimes,Difficult,1,Excellent,Desktop,No,Internet/technical problems,2,Probably No
STU_10013,21–23,2nd Year,Science,NPTEL,Programming / Technology,More than 6 months,More than 3 hours,4–5 days,1,5,Sometimes,Always,Rarely,Never,Very Difficult,3,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10014,Above 26,Other,Science,edX,Language Learning,Less than 2 weeks,Less than 30 minutes,Every day,4,1,Always,Rarely,Not Available in My Course,Often,Very Easy,5,Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10015,18–20,1st Year,Computer Science / IT,Udemy,Language Learning,2–4 weeks,30 minutes–1 hour,2–3 days,2,2,Rarely,Sometimes,Never,Rarely,Easy,2,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10016,18–20,4th Year,Other,Other,Language Learning,Less than 2 weeks,Less than 30 minutes,2–3 days,3,1,Rarely,Rarely,Often,Sometimes,Very Easy,2,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10017,21–23,3rd Year,Computer Science / IT,NPTEL,Artificial Intelligence / Data Science,Less than 2 weeks,Less than 30 minutes,4–5 days,5,1,Sometimes,Rarely,Sometimes,Very Often,Very Easy,3,Average,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10018,Below 18,3rd Year,Business / Management,Other,Programming / Technology,1–3 months,1–2 hours,1 day,4,3,Never,Often,Sometimes,Often,Moderate,1,Average,Smartphone,No,Course was too difficult,2,Probably No
STU_10019,24–26,3rd Year,Arts / Humanities,LinkedIn Learning,Artificial Intelligence / Data Science,More than 6 months,More than 3 hours,6 days,3,5,Often,Always,Sometimes,Sometimes,Very Difficult,4,Average,Smartphone,Yes,I completed the course,4,Definitely Yes
STU_10020,Below 18,Other,Science,NPTEL,Programming / Technology,Less than 2 weeks,Less than 30 minutes,1 day,1,1,Never,Rarely,Not Available in My Course,Never,Very Easy,1,Poor,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10021,21–23,Postgraduate,Arts / Humanities,YouTube,Personal Development,2–4 weeks,30 minutes–1 hour,4–5 days,4,2,Sometimes,Sometimes,Very Often,Often,Easy,3,Excellent,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10022,24–26,Other,Engineering,NPTEL,Personal Development,2–4 weeks,30 minutes–1 hour,6 days,1,2,Often,Sometimes,Not Available in My Course,Never,Easy,4,Good,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10023,24–26,4th Year,Engineering,edX,Programming / Technology,Less than 2 weeks,Less than 30 minutes,6 days,2,1,Often,Rarely,Often,Rarely,Very Easy,4,Excellent,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10024,21–23,4th Year,Science,NPTEL,Artificial Intelligence / Data Science,3–6 months,2–3 hours,4–5 days,2,4,Sometimes,Almost Always,Often,Rarely,Difficult,3,Poor,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10025,Above 26,2nd Year,Science,NPTEL,Language Learning,More than 6 months,More than 3 hours,Every day,5,5,Always,Always,Rarely,Very Often,Very Difficult,5,Excellent,Tablet,Yes,I completed the course,4,Definitely Yes
STU_10026,24–26,3rd Year,Computer Science / IT,LinkedIn Learning,Artificial Intelligence / Data Science,1–3 months,1–2 hours,6 days,5,3,Often,Often,Sometimes,Very Often,Moderate,4,Poor,Desktop,Yes,I completed the course,4,Definitely Yes
STU_10027,Above 26,2nd Year,Engineering,edX,Artificial Intelligence / Data Science,1–3 months,1–2 hours,Every day,2,3,Always,Often,Rarely,Rarely,Moderate,5,Very Good,Laptop,Yes,I completed the course,4,Definitely Yes
STU_10028,Below 18,1st Year,Business / Management,Other,Other,1–3 months,1–2 hours,1 day,4,3,Never,Often,Never,Often,Moderate,1,Average,Desktop,No,Internet/technical problems,2,Probably No
STU_10029,Above 26,1st Year,Arts / Humanities,LinkedIn Learning,Programming / Technology,Less than 2 weeks,Less than 30 minutes,Every day,4,1,Always,Rarely,Never,Often,Very Easy,5,Good,Desktop,Yes,I completed the course,4,Definitely Yes
